Id,PID,MS SubClass,MS Zoning,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Exposure,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,data_origin,TotalSF,Total_full_bath,Total_half_bath,garage_yrblt_rel,remod_yr_rel,ExterQualCond,BsmtQualCond,GarageQualCond,BasmtFinSF_type1,BasmtFinSF_type2
109,533352170,60,RL,13517,Pave,None,IR1,Lvl,4,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,CBlock,No,192.0,GasA,5,Y,SBrkr,0,7.2991214627108,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,44,0,0,0,0,None,None,None,0,3,2010,WD ,11.779128505744886,train,2204.0,2.0,1.0,0.0,1,12,9,9,3198.0,0.0
544,531379050,60,RL,11492,Pave,None,IR1,Lvl,4,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,PConc,No,276.0,GasA,5,Y,SBrkr,0,7.660114319173928,4,1,4,8,1,3,Attchd,RFn,2.0,Y,0,74,0,0,0,0,None,None,None,0,4,2009,WD ,12.301382825334498,train,3035.0,3.0,1.0,1.0,1,12,12,9,3822.0,0.0
153,535304180,20,RL,7922,Pave,None,Reg,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,326.0,GasA,3,Y,SBrkr,0,6.963189985870238,3,1,4,8,0,0,Detchd,Unf,1.0,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD ,11.59910316121128,train,2114.0,2.0,0.0,0.0,1,12,9,9,4386.0,0.0
318,916386060,60,RL,9802,Pave,None,Reg,Lvl,4,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,384.0,GasA,4,Y,SBrkr,0,7.275172319452771,3,1,3,8,0,0,BuiltIn,Fin,2.0,Y,100,0,0,0,0,0,None,None,None,0,4,2010,WD ,12.066810578196666,train,1828.0,2.0,1.0,1.0,1,9,12,9,0.0,0.0
255,906425045,50,RL,14235,Pave,None,IR1,Lvl,4,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,Gable,CompShg,Wd Sdng,Plywood,None,0.0,PConc,No,676.0,GasA,3,Y,SBrkr,0,7.275864600546533,3,1,3,8,0,0,Detchd,Unf,2.0,N,0,59,0,0,0,0,None,None,None,0,3,2010,WD ,11.83862560460953,train,2121.0,2.0,0.0,1.0,1,9,8,9,0.0,0.0
138,535126040,20,RL,16492,Pave,None,IR1,Lvl,4,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,None,0.0,CBlock,No,557.0,GasA,5,Y,SBrkr,0,7.543273346705446,2,1,4,5,1,4,Attchd,Fin,2.0,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD ,12.154779351142624,train,3405.0,2.0,1.0,0.0,1,12,9,9,1235.0,2139.0
2827,908186070,180,RM,3675,Pave,None,Reg,Lvl,4,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,PConc,Gd,0.0,GasA,4,Y,SBrkr,0,6.977281341630747,2,1,3,8,0,0,Basment,Fin,2.0,Y,0,44,0,0,0,0,None,None,None,0,6,2006,New,11.84939770159144,train,1619.0,3.0,0.0,0.0,1,9,12,9,3282.0,0.0
145,535154050,20,RL,12160,Pave,None,IR1,Lvl,4,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,CBlock,No,188.0,GasA,2,Y,SBrkr,0,7.080026499922591,3,1,3,8,0,0,Attchd,RFn,2.0,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,COD,11.863582336583399,train,2376.0,2.0,0.0,0.0,0,9,9,9,3000.0,0.0
1942,535353130,20,RL,15783,Pave,None,Reg,Lvl,4,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,632.0,GasA,3,Y,SBrkr,0,6.828712071641684,2,1,3,8,0,0,Detchd,Unf,1.0,Y,0,324,0,0,0,0,None,MnPrv,Shed,400,6,2007,WD ,11.630708500626612,train,1848.0,1.0,0.0,0.0,0,9,9,9,876.0,0.0
1956,535426130,60,RL,11606,Pave,None,IR1,HLS,4,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,PConc,Av,390.0,GasA,3,Y,SBrkr,0,7.640123172695364,5,1,2,8,2,3,Attchd,Unf,2.0,Y,335,0,0,0,0,0,None,None,None,0,9,2007,WD ,11.813030057420567,train,3120.0,1.0,3.0,0.0,0,9,12,9,1950.0,0.0
