Id,PID,MS SubClass,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Exposure,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,SalePrice,TotalSF,Total_full_bath,Total_half_bath,garage_yrblt_rel,remod_yr_rel,ExterQualCond,BsmtQualCond,GarageQualCond,BasmtFinSF_type1,BasmtFinSF_type2,MS Zoning_0,MS Zoning_1,MS Zoning_2,MS Zoning_3,MS Zoning_4,MS Zoning_5,MS Zoning_6,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,Neighborhood_6,Neighborhood_7,Neighborhood_8,Neighborhood_9,Neighborhood_10,Neighborhood_11,Neighborhood_12,Neighborhood_13,Neighborhood_14,Neighborhood_15,Neighborhood_16,Neighborhood_17,Neighborhood_18,Neighborhood_19,Neighborhood_20,Neighborhood_21,Neighborhood_22,Neighborhood_23,Neighborhood_24,Neighborhood_25,Neighborhood_26,Neighborhood_27,Sale Type_0,Sale Type_1,Sale Type_2,Sale Type_3,Sale Type_4,Sale Type_5,Sale Type_6,Sale Type_7,Sale Type_8,Sale Type_9
109,533352170,60,13517,Pave,None,IR1,Lvl,4,CulDSac,Gtl,RRAe,Norm,1Fam,2Story,6,8,1976,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,CBlock,No,192.0,GasA,5,Y,SBrkr,0,7.2991214627108,3,1,4,8,0,0,Attchd,RFn,2.0,Y,0,44,0,0,0,0,None,None,None,0,3,2010,11.779128505744884,2204.0,2.0,1.0,0.0,1,12,9,9,3198.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
544,531379050,60,11492,Pave,None,IR1,Lvl,4,CulDSac,Gtl,Norm,Norm,1Fam,2Story,7,5,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,PConc,No,276.0,GasA,5,Y,SBrkr,0,7.660114319173927,4,1,4,8,1,3,Attchd,RFn,2.0,Y,0,74,0,0,0,0,None,None,None,0,4,2009,12.3013828253345,3035.0,3.0,1.0,1.0,1,12,12,9,3822.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,535304180,20,7922,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,326.0,GasA,3,Y,SBrkr,0,6.963189985870238,3,1,4,8,0,0,Detchd,Unf,1.0,Y,0,52,0,0,0,0,None,None,None,0,1,2010,11.599103161211278,2114.0,2.0,0.0,0.0,1,12,9,9,4386.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
318,916386060,60,9802,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,384.0,GasA,4,Y,SBrkr,0,7.275172319452771,3,1,3,8,0,0,BuiltIn,Fin,2.0,Y,100,0,0,0,0,0,None,None,None,0,4,2010,12.066810578196664,1828.0,2.0,1.0,1.0,1,9,12,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
255,906425045,50,14235,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,8,1900,Gable,CompShg,Wd Sdng,Plywood,None,0.0,PConc,No,676.0,GasA,3,Y,SBrkr,0,7.275864600546532,3,1,3,8,0,0,Detchd,Unf,2.0,N,0,59,0,0,0,0,None,None,None,0,3,2010,11.83862560460953,2121.0,2.0,0.0,1.0,1,9,8,9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,535126040,20,16492,Pave,None,IR1,Lvl,4,Corner,Gtl,PosA,Norm,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Plywood,None,0.0,CBlock,No,557.0,GasA,5,Y,SBrkr,0,7.543273346705446,2,1,4,5,1,4,Attchd,Fin,2.0,Y,0,0,0,0,0,0,None,None,None,0,6,2010,12.154779351142626,3405.0,2.0,1.0,0.0,1,12,9,9,1235.0,2139.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2827,908186070,180,3675,Pave,None,Reg,Lvl,4,Inside,Gtl,Norm,Norm,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,PConc,Gd,0.0,GasA,4,Y,SBrkr,0,6.977281341630747,2,1,3,8,0,0,Basment,Fin,2.0,Y,0,44,0,0,0,0,None,None,None,0,6,2006,11.849397701591439,1619.0,3.0,0.0,0.0,1,9,12,9,3282.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,535154050,20,12160,Pave,None,IR1,Lvl,4,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,CBlock,No,188.0,GasA,2,Y,SBrkr,0,7.080026499922591,3,1,3,8,0,0,Attchd,RFn,2.0,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2010,11.8635823365834,2376.0,2.0,0.0,0.0,0,9,9,9,3000.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1942,535353130,20,15783,Pave,None,Reg,Lvl,4,Inside,Gtl,Artery,Norm,1Fam,1Story,5,5,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,No,632.0,GasA,3,Y,SBrkr,0,6.828712071641683,2,1,3,8,0,0,Detchd,Unf,1.0,Y,0,324,0,0,0,0,None,MnPrv,Shed,400,6,2007,11.630708500626614,1848.0,1.0,0.0,0.0,0,9,9,9,876.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1956,535426130,60,11606,Pave,None,IR1,HLS,4,Inside,Sev,Norm,Norm,1Fam,2Story,5,5,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,PConc,Av,390.0,GasA,3,Y,SBrkr,0,7.640123172695364,5,1,2,8,2,3,Attchd,Unf,2.0,Y,335,0,0,0,0,0,None,None,None,0,9,2007,11.813030057420569,3120.0,1.0,3.0,0.0,0,9,12,9,1950.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
